instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
83,2011-03-24,2,0,3,0,4,1,2,285,270.833,805.833,243.787,166,1699,1865
84,2011-03-25,2,0,3,0,5,1,1,264.167,256.312,495,230.725,300,1910,2210
85,2011-03-26,2,0,3,0,6,0,1,265.833,257.571,394.167,209.571,981,1515,2496
86,2011-03-27,2,0,3,0,0,0,2,253.043,250.339,493.913,1.843,472,1221,1693
87,2011-03-28,2,0,3,0,1,1,1,264.348,257.574,302.174,212.204,222,1806,2028
88,2011-03-29,2,0,3,0,2,1,1,3.025,292.908,314.167,226.996,317,2108,2425
89,2011-03-30,2,0,3,0,3,1,2,0.3,29.735,646.667,172.888,168,1368,1536
90,2011-03-31,2,0,3,0,4,1,3,268.333,257.575,918.333,217.646,179,1506,1685
91,2011-04-01,2,0,4,0,5,1,2,0.3,283.454,68.625,258.708,307,1920,2227
92,2011-04-02,2,0,4,0,6,0,2,315,315.637,65.375,197.146,898,1354,2252
93,2011-04-03,2,0,4,0,0,0,1,378.333,378.767,0.48,182.213,1651,1598,3249
94,2011-04-04,2,0,4,0,1,1,1,573.333,542.929,42.625,385.571,734,2381,3115
95,2011-04-05,2,0,4,0,2,1,2,414.167,39.835,642.083,388.067,167,1628,1795
96,2011-04-06,2,0,4,0,3,1,1,390.833,387.608,470.833,263.063,413,2395,2808
97,2011-04-07,2,0,4,0,4,1,1,4.375,433.696,602.917,162.312,571,2570,3141
98,2011-04-08,2,0,4,0,5,1,2,335.833,324.479,83.625,226.992,172,1299,1471
99,2011-04-09,2,0,4,0,6,0,2,3.425,341.529,8.775,133.083,879,1576,2455
100,2011-04-10,2,0,4,0,0,0,2,426.667,426.737,8.575,146.767,1188,1707,2895
101,2011-04-11,2,0,4,0,1,1,2,595.652,565.217,716.956,324.474,855,2493,3348
102,2011-04-12,2,0,4,0,2,1,2,5.025,493.054,739.167,274.879,257,1777,2034
103,2011-04-13,2,0,4,0,3,1,2,4.125,417.283,819.167,250.617,209,1953,2162
104,2011-04-14,2,0,4,0,4,1,1,4.675,462.742,540.417,1.107,529,2738,3267
105,2011-04-15,2,0,4,1,5,0,1,446.667,441.913,67.125,226.375,642,2484,3126
106,2011-04-16,2,0,4,0,6,0,3,430.833,425.492,888.333,340.808,121,674,795
107,2011-04-17,2,0,4,0,0,0,1,456.667,445.696,479.583,303.496,1558,2186,3744
108,2011-04-18,2,0,4,0,1,1,1,5.125,503.146,5.425,163.567,669,2760,3429
109,2011-04-19,2,0,4,0,2,1,2,505.833,489.258,665.833,157.971,409,2795,3204
110,2011-04-20,2,0,4,0,3,1,1,595,564.392,614.167,241.925,613,3331,3944
111,2011-04-21,2,0,4,0,4,1,1,459.167,453.892,407.083,325.258,745,3444,4189
112,2011-04-22,2,0,4,0,5,1,2,336.667,321.954,729.583,219.521,177,1506,1683
113,2011-04-23,2,0,4,0,6,0,2,0.46,450.121,887.917,230.725,1462,2574,4036
114,2011-04-24,2,0,4,0,0,0,2,581.667,551.763,810.833,192.175,1710,2481,4191
115,2011-04-25,2,0,4,0,1,1,1,606.667,5.745,776.667,185.333,773,3300,4073
116,2011-04-26,2,0,4,0,2,1,1,631.667,594.083,729.167,3.265,678,3722,4400
117,2011-04-27,2,0,4,0,3,1,2,0.62,575.142,835.417,3.122,547,3325,3872
118,2011-04-28,2,0,4,0,4,1,2,6.175,578.929,700.833,320.908,569,3489,4058
119,2011-04-29,2,0,4,0,5,1,1,0.51,497.463,457.083,240.063,878,3717,4595
120,2011-04-30,2,0,4,0,6,0,1,4.725,464.021,503.333,235.075,1965,3347,5312
121,2011-05-01,2,0,5,0,0,0,2,451.667,448.204,762.083,106.354,1138,2213,3351
122,2011-05-02,2,0,5,0,1,1,2,549.167,532.833,0.73,183.454,847,3554,4401
123,2011-05-03,2,0,5,0,2,1,2,616.667,582.079,697.083,342.667,603,3848,4451
124,2011-05-04,2,0,5,0,3,1,2,414.167,40.465,737.083,328.996,255,2378,2633
125,2011-05-05,2,0,5,0,4,1,1,459.167,441.917,444.167,295.392,614,3819,4433
126,2011-05-06,2,0,5,0,5,1,1,479.167,474.117,0.59,228.246,894,3714,4608
127,2011-05-07,2,0,5,0,6,0,1,0.52,512.621,54.125,16.045,1612,3102,4714
128,2011-05-08,2,0,5,0,0,0,1,528.333,518.933,631.667,746.375,1401,2932,4333
129,2011-05-09,2,0,5,0,1,1,1,5.325,525.246,58.875,176,664,3698,4362
130,2011-05-10,2,0,5,0,2,1,1,5.325,522.721,489.167,115.671,694,4109,4803
131,2011-05-11,2,0,5,0,3,1,1,5.425,5.284,632.917,120.642,550,3632,4182
132,2011-05-12,2,0,5,0,4,1,1,535,523.363,7.475,189.667,695,4169,4864
133,2011-05-13,2,0,5,0,5,1,2,5.125,4.943,863.333,179.725,692,3413,4105
134,2011-05-14,2,0,5,0,6,0,2,520.833,500.629,9.225,13.495,902,2507,3409
135,2011-05-15,2,0,5,0,0,0,2,5.625,536,867.083,152.979,1582,2971,4553
136,2011-05-16,2,0,5,0,1,1,1,5.775,550.512,787.917,126.871,773,3185,3958
137,2011-05-17,2,0,5,0,2,1,2,561.667,538.529,837.917,277.354,678,3445,4123
138,2011-05-18,2,0,5,0,3,1,2,0.55,527.158,0.87,201.492,536,3319,3855
139,2011-05-19,2,0,5,0,4,1,2,530.833,510.742,829.583,108.213,735,3840,4575
140,2011-05-20,2,0,5,0,5,1,1,536.667,529.042,719.583,125.013,909,4008,4917
141,2011-05-21,2,0,5,0,6,0,1,6.025,571.975,626.667,12.065,2258,3547,5805
142,2011-05-22,2,0,5,0,0,0,1,604.167,5.745,749.583,148.008,1576,3084,4660
143,2011-05-23,2,0,5,0,1,1,2,631.667,590.296,0.81,233.842,836,3438,4274
144,2011-05-24,2,0,5,0,2,1,2,0.66,604.813,740.833,207.092,659,3833,4492
145,2011-05-25,2,0,5,0,3,1,1,660.833,615.542,69.625,154.233,740,4238,4978
146,2011-05-26,2,0,5,0,4,1,1,708.333,654.688,6.775,199.642,758,3919,4677
147,2011-05-27,2,0,5,0,5,1,1,681.667,637.008,65.375,240.679,871,3808,4679
148,2011-05-28,2,0,5,0,6,0,1,655.833,612.379,729.583,230.092,2001,2757,4758
149,2011-05-29,2,0,5,0,0,0,1,6.675,61.555,81.875,213.938,2355,2433,4788
150,2011-05-30,2,0,5,1,1,0,1,733.333,671.092,685,131.225,1549,2549,4098
151,2011-05-31,2,0,5,0,2,1,1,775,725.383,636.667,111.329,673,3309,3982
152,2011-06-01,2,0,6,0,3,1,2,764.167,720.967,677.083,207.092,513,3461,3974
153,2011-06-02,2,0,6,0,4,1,1,715,643.942,305,292.287,736,4232,4968
154,2011-06-03,2,0,6,0,5,1,1,0.62,587.133,354.167,253.121,898,4414,5312
155,2011-06-04,2,0,6,0,6,0,1,635,594.696,45.625,123.142,1869,3473,5342
156,2011-06-05,2,0,6,0,0,0,2,648.333,616.804,6.525,138.692,1685,3221,4906
157,2011-06-06,2,0,6,0,1,1,1,678.333,621.858,0.6,121.896,673,3875,4548
158,2011-06-07,2,0,6,0,2,1,1,7.075,65.595,597.917,187.808,763,4070,4833
159,2011-06-08,2,0,6,0,3,1,1,775.833,727.279,622.083,136.817,676,3725,4401
160,2011-06-09,2,0,6,0,4,1,2,808.333,757.579,568.333,149.883,563,3352,3915
161,2011-06-10,2,0,6,0,5,1,1,755,703.292,605,140.554,815,3771,4586
162,2011-06-11,2,0,6,0,6,0,1,725,678.038,654.583,15.485,1729,3237,4966
163,2011-06-12,2,0,6,0,0,0,1,6.925,643.325,747.917,163.567,1467,2993,4460
164,2011-06-13,2,0,6,0,1,1,1,635,601.654,494.583,30.535,863,4157,5020
165,2011-06-14,2,0,6,0,2,1,1,604.167,591.546,507.083,269.283,727,4164,4891
166,2011-06-15,2,0,6,0,3,1,1,626.667,587.754,471.667,167.912,769,4411,5180
167,2011-06-16,2,0,6,0,4,1,2,628.333,595.346,688.333,206.471,545,3222,3767
168,2011-06-17,2,0,6,0,5,1,1,649.167,600.383,735.833,143.029,863,3981,4844
169,2011-06-18,2,0,6,0,6,0,1,696.667,643.954,670.417,119.408,1807,3312,5119
170,2011-06-19,2,0,6,0,0,0,2,699.167,645.846,666.667,102,1639,3105,4744
171,2011-06-20,2,0,6,0,1,1,2,635,595.346,74.625,155.475,699,3311,4010
172,2011-06-21,3,0,6,0,2,1,2,680.833,637.646,770.417,171.025,774,4061,4835
173,2011-06-22,3,0,6,0,3,1,1,733.333,693.829,7.075,172.262,661,3846,4507
174,2011-06-23,3,0,6,0,4,1,2,728.333,693.833,703.333,238.804,746,4044,4790
175,2011-06-24,3,0,6,0,5,1,1,724.167,656.583,573.333,222.025,969,4022,4991
176,2011-06-25,3,0,6,0,6,0,1,695,643.313,483.333,209.571,1782,3420,5202
177,2011-06-26,3,0,6,0,0,0,1,0.68,637.629,513.333,945.333,1920,3385,5305
178,2011-06-27,3,0,6,0,1,1,2,6.825,637.004,658.333,107.588,854,3854,4708
179,2011-06-28,3,0,6,0,2,1,1,744.167,692.558,634.167,144.283,732,3916,4648
180,2011-06-29,3,0,6,0,3,1,1,728.333,654.688,497.917,261.821,848,4377,5225
181,2011-06-30,3,0,6,0,4,1,1,696.667,637.008,434.167,185.312,1027,4488,5515
182,2011-07-01,3,0,7,0,5,1,1,7.225,652.162,39.625,102.608,1246,4116,5362
183,2011-07-02,3,0,7,0,6,0,1,738.333,667.308,444.583,115.062,2204,2915,5119
184,2011-07-03,3,0,7,0,0,0,2,716.667,668.575,6.825,228.858,2282,2367,4649
185,2011-07-04,3,0,7,1,1,0,2,726.667,665.417,637.917,814.792,3065,2978,6043
186,2011-07-05,3,0,7,0,2,1,1,746.667,696.338,590.417,126.258,1031,3634,4665
187,2011-07-06,3,0,7,0,3,1,1,0.72,685.633,743.333,149.883,784,3845,4629
188,2011-07-07,3,0,7,0,4,1,1,0.75,686.871,65.125,1.592,754,3838,4592
189,2011-07-08,3,0,7,0,5,1,2,709.167,670.483,757.917,225.129,692,3348,4040
190,2011-07-09,3,0,7,0,6,0,1,733.333,664.158,609.167,167.912,1988,3348,5336
191,2011-07-10,3,0,7,0,0,0,1,7.475,690.025,578.333,183.471,1743,3138,4881
192,2011-07-11,3,0,7,0,1,1,1,7.625,729.804,635.833,282.337,723,3363,4086
193,2011-07-12,3,0,7,0,2,1,1,794.167,739.275,559.167,200.254,662,3596,4258
194,2011-07-13,3,0,7,0,3,1,1,746.667,689.404,631.667,146.133,748,3594,4342
195,2011-07-14,3,0,7,0,4,1,1,680.833,635.104,47.625,240.667,888,4196,5084
196,2011-07-15,3,0,7,0,5,1,1,663.333,624.371,59.125,182.833,1318,4220,5538
197,2011-07-16,3,0,7,0,6,0,1,686.667,638.263,585,208.342,2418,3505,5923
198,2011-07-17,3,0,7,0,0,0,1,719.167,669.833,604.167,245.033,2006,3296,5302
199,2011-07-18,3,0,7,0,1,1,1,746.667,703.925,65.125,215.804,841,3617,4458
200,2011-07-19,3,0,7,0,2,1,1,776.667,747.479,650.417,1.306,752,3789,4541
201,2011-07-20,3,0,7,0,3,1,1,768.333,74.685,707.083,113.817,644,3688,4332
202,2011-07-21,3,0,7,0,4,1,2,815,826.371,69.125,222.021,632,3152,3784
203,2011-07-22,3,0,7,0,5,1,1,848.333,840.896,580.417,1.331,562,2825,3387
204,2011-07-23,3,0,7,0,6,0,1,849.167,804.287,0.5,131.221,987,2298,3285
205,2011-07-24,3,0,7,0,0,0,1,0.83,794.829,550.833,169.171,1050,2556,3606
206,2011-07-25,3,0,7,0,1,1,1,743.333,720.958,757.083,908.083,568,3272,3840
207,2011-07-26,3,0,7,0,2,1,1,771.667,696.979,540.833,200.258,750,3840,4590
208,2011-07-27,3,0,7,0,3,1,1,775,690.667,402.917,183.463,755,3901,4656
209,2011-07-28,3,0,7,0,4,1,1,779.167,7.399,583.333,178.479,606,3784,4390
210,2011-07-29,3,0,7,0,5,1,1,838.333,785.967,5.425,174.138,670,3176,3846
211,2011-07-30,3,0,7,0,6,0,1,804.167,728.537,465.833,168.537,1559,2916,4475
212,2011-07-31,3,0,7,0,0,0,1,805.833,729.796,480.833,164.813,1524,2778,4302
213,2011-08-01,3,0,8,0,1,1,1,771.667,703.292,550.833,156.717,729,3537,4266
214,2011-08-02,3,0,8,0,2,1,1,783.333,707.071,49.125,20.585,801,4044,4845
215,2011-08-03,3,0,8,0,3,1,2,731.667,679.937,6.575,135.583,467,3107,3574
216,2011-08-04,3,0,8,0,4,1,2,0.71,664.788,7.575,19.715,799,3777,4576
217,2011-08-05,3,0,8,0,5,1,1,710.833,656.567,630.833,184.696,1023,3843,4866
218,2011-08-06,3,0,8,0,6,0,2,716.667,676.154,755,22.825,1521,2773,4294
219,2011-08-07,3,0,8,0,0,0,1,7.425,715.292,752.917,201.487,1298,2487,3785
220,2011-08-08,3,0,8,0,1,1,1,765,703.283,592.083,192.175,846,3480,4326
221,2011-08-09,3,0,8,0,2,1,1,775,724.121,570.417,151.121,907,3695,4602
222,2011-08-10,3,0,8,0,3,1,1,766.667,684.983,424.167,200.258,884,3896,4780
223,2011-08-11,3,0,8,0,4,1,1,7.175,651.521,42.375,164.796,812,3980,4792
224,2011-08-12,3,0,8,0,5,1,1,708.333,654.042,415,125.621,1051,3854,4905
225,2011-08-13,3,0,8,0,6,0,2,685.833,645.858,729.583,211.454,1504,2646,4150
226,2011-08-14,3,0,8,0,0,0,2,676.667,624.388,8.175,222.633,1338,2482,3820
227,2011-08-15,3,0,8,0,1,1,1,665.833,616.167,712.083,208.954,775,3563,4338
228,2011-08-16,3,0,8,0,2,1,1,700.833,645.837,578.333,236.329,721,4004,4725
229,2011-08-17,3,0,8,0,3,1,1,723.333,666.671,575.417,143.667,668,4026,4694
230,2011-08-18,3,0,8,0,4,1,1,711.667,662.258,654.583,233.208,639,3166,3805
231,2011-08-19,3,0,8,0,5,1,2,685,633.221,722.917,139.308,797,3356,4153
232,2011-08-20,3,0,8,0,6,0,1,6.975,648.996,674.167,104.467,1914,3277,5191
233,2011-08-21,3,0,8,0,0,0,1,710.833,675.525,0.77,248.754,1249,2624,3873
234,2011-08-22,3,0,8,0,1,1,1,691.667,638.254,0.47,27.675,833,3925,4758
235,2011-08-23,3,0,8,0,2,1,1,640.833,606.067,455.417,146.763,1281,4614,5895
236,2011-08-24,3,0,8,0,3,1,1,673.333,630.692,605,253.108,949,4181,5130
237,2011-08-25,3,0,8,0,4,1,2,684.167,645.854,771.667,210.833,435,3107,3542
238,2011-08-26,3,0,8,0,5,1,1,0.7,659.733,76.125,839.625,768,3893,4661
239,2011-08-27,3,0,8,0,6,0,2,0.68,635.556,0.85,375.617,226,889,1115
240,2011-08-28,3,0,8,0,0,0,1,707.059,647.959,561.765,304.659,1415,2919,4334
241,2011-08-29,3,0,8,0,1,1,1,636.667,607.958,554.583,159.825,729,3905,4634
242,2011-08-30,3,0,8,0,2,1,1,639.167,594.704,548.333,125.008,775,4429,5204
243,2011-08-31,3,0,8,0,3,1,1,656.667,611.121,597.917,833.333,688,4370,5058
244,2011-09-01,3,0,9,0,4,1,1,655,614.921,639.167,141.796,783,4332,5115
245,2011-09-02,3,0,9,0,5,1,2,643.333,604.808,727.083,139.929,875,3852,4727
246,2011-09-03,3,0,9,0,6,0,1,669.167,633.213,716.667,185.325,1935,2549,4484
247,2011-09-04,3,0,9,0,0,0,1,709.167,665.429,742.083,206.467,2521,2419,4940
248,2011-09-05,3,0,9,1,1,0,2,673.333,625.646,790.417,212.696,1236,2115,3351
249,2011-09-06,3,0,9,0,2,1,3,0.54,5.152,886.957,343.943,204,2506,2710
250,2011-09-07,3,0,9,0,3,1,3,599.167,544.229,917.083,970.208,118,1878,1996
251,2011-09-08,3,0,9,0,4,1,3,633.913,555.361,939.565,192.748,153,1689,1842
252,2011-09-09,3,0,9,0,5,1,2,0.65,578.946,897.917,124.379,417,3127,3544
253,2011-09-10,3,0,9,0,6,0,1,0.66,607.962,75.375,153.608,1750,3595,5345
254,2011-09-11,3,0,9,0,0,0,1,653.333,609.229,71.375,115.054,1633,3413,5046
255,2011-09-12,3,0,9,0,1,1,1,644.348,60.213,692.174,88.913,690,4023,4713
256,2011-09-13,3,0,9,0,2,1,1,650.833,603.554,7.125,141.804,701,4062,4763
257,2011-09-14,3,0,9,0,3,1,1,673.333,6.269,697.083,1.673,647,4138,4785
258,2011-09-15,3,0,9,0,4,1,2,5.775,553.671,709.167,271.146,428,3231,3659
259,2011-09-16,3,0,9,0,5,1,2,469.167,461.475,590.417,164.183,742,4018,4760
260,2011-09-17,3,0,9,0,6,0,2,491.667,478.512,718.333,189.675,1434,3077,4511
261,2011-09-18,3,0,9,0,0,0,1,5.075,490.537,695,178.483,1353,2921,4274
262,2011-09-19,3,0,9,0,1,1,2,549.167,529.675,0.69,151.742,691,3848,4539
263,2011-09-20,3,0,9,0,2,1,2,561.667,532.217,88.125,134.954,438,3203,3641
264,2011-09-21,3,0,9,0,3,1,2,595,550.533,0.9,964.042,539,3813,4352
265,2011-09-22,3,0,9,0,4,1,2,628.333,554.963,902.083,128.125,555,4240,4795
266,2011-09-23,4,0,9,0,5,1,2,609.167,522.125,9.725,783.667,258,2137,2395
267,2011-09-24,4,0,9,0,6,0,2,606.667,564.412,8.625,783.833,1776,3647,5423
268,2011-09-25,4,0,9,0,0,0,2,634.167,572.637,845,503.792,1544,3466,5010
269,2011-09-26,4,0,9,0,1,1,2,649.167,589.042,848.333,1.107,684,3946,4630
270,2011-09-27,4,0,9,0,2,1,2,636.667,574.525,885.417,118.171,477,3643,4120
271,2011-09-28,4,0,9,0,3,1,2,635,575.158,84.875,148.629,480,3427,3907
272,2011-09-29,4,0,9,0,4,1,1,616.667,574.512,699.167,172.883,653,4186,4839
273,2011-09-30,4,0,9,0,5,1,1,564.167,544.829,6.475,206.475,830,4372,5202
274,2011-10-01,4,0,10,0,6,0,2,0.41,412.863,75.375,292.296,480,1949,2429
275,2011-10-02,4,0,10,0,0,0,2,356.667,345.317,791.667,222.013,616,2302,2918
276,2011-10-03,4,0,10,0,1,1,2,384.167,392.046,760.833,833.458,330,3240,3570
277,2011-10-04,4,0,10,0,2,1,1,484.167,472.858,0.71,205.854,486,3970,4456
278,2011-10-05,4,0,10,0,3,1,1,538.333,527.138,647.917,17.725,559,4267,4826
279,2011-10-06,4,0,10,0,4,1,1,494.167,480.425,620.833,134.954,639,4126,4765
280,2011-10-07,4,0,10,0,5,1,1,510.833,504.404,684.167,223.917,949,4036,4985
281,2011-10-08,4,0,10,0,6,0,1,521.667,513.242,70.125,454.042,2235,3174,5409
282,2011-10-09,4,0,10,0,0,0,1,540.833,523.983,7.275,6.345,2397,3114,5511
283,2011-10-10,4,0,10,1,1,0,1,570.833,542.925,73.375,423.042,1514,3603,5117
284,2011-10-11,4,0,10,0,2,1,2,566.667,546.096,80.875,143.042,667,3896,4563
285,2011-10-12,4,0,10,0,3,1,3,543.333,517.717,90.625,24.815,217,2199,2416
286,2011-10-13,4,0,10,0,4,1,2,589.167,551.804,896.667,141.787,290,2623,2913
287,2011-10-14,4,0,10,0,5,1,2,550.833,529.675,71.625,223.883,529,3115,3644
288,2011-10-15,4,0,10,0,6,0,1,506.667,498.725,483.333,258.083,1899,3318,5217
289,2011-10-16,4,0,10,0,0,0,1,511.667,503.154,486.667,281.717,1748,3293,5041
290,2011-10-17,4,0,10,0,1,1,1,534.167,510.725,579.583,175.379,713,3857,4570
291,2011-10-18,4,0,10,0,2,1,2,5.325,522.721,701.667,110.087,637,4111,4748
292,2011-10-19,4,0,10,0,3,1,3,541.739,513.848,895.217,243.339,254,2170,2424
293,2011-10-20,4,0,10,0,4,1,1,475.833,466.525,63.625,422.275,471,3724,4195
294,2011-10-21,4,0,10,0,5,1,1,4.275,423.596,574.167,221.396,676,3628,4304
295,2011-10-22,4,0,10,0,6,0,1,4.225,425.492,629.167,926.667,1499,2809,4308
296,2011-10-23,4,0,10,0,0,0,1,421.667,422.333,74.125,995.125,1619,2762,4381
